,script_len,char_per_line,if_freq,false_freq,true_freq,whitesp_freq,lines_100,return_freq,var_freq,this_freq,toString_freq,eval_freq,comment_amount,words_count,vowel_freq,non_read_freq,scr_entropy,str_enc_freq,file_name
349,99604,2371.5238095238096,0.013053835159599809,0.0,0.0005717008099094807,0.010150194771294325,0.047619047619047616,0.02162934730824202,0.02934730824202001,0.00019056693663649358,0.0010481181515007145,0.0009528346831824678,1,10495,0.13228384402232843,0.5613027589253443,5.507188256707038,0.0565941126862375,32.txt
350,6201,6201.0,0.020895522388059702,0.0,0.0014925373134328358,0.01032091598129334,1.0,0.03731343283582089,0.04029850746268657,0.0,0.0014925373134328358,0.0,0,670,0.11240122560877278,0.5755523302693114,5.4697287548577,0.06386066763425254,818.txt
351,16281,16281.0,0.013439218081857055,0.0,0.0006108735491753207,0.010134512622074812,1.0,0.03909590714722053,0.02565668906536347,0.0,0.0006108735491753207,0.0,0,1637,0.09894969596462133,0.565075855291444,5.495696385057666,0.06172839506172839,1086.txt
352,562875,562875.0,0.006928660056439481,0.0,0.0,0.006033311125916056,1.0,0.019885583775296197,0.007192190708348431,0.0,4.392177531815836e-05,0.0,1,91071,0.0596224739062847,0.6719928936264712,4.819309701645071,0.14524361536753275,160.txt
353,187411,187411.0,0.0012078651685393257,0.0,0.0,0.00252920052718357,1.0,0.009410112359550561,0.003202247191011236,0.0,2.808988764044944e-05,0.0,0,35600,0.037788603657202616,0.68788918473302,4.399203512138572,0.181846316384844,710.txt
354,5983,5983.0,0.02090032154340836,0.0,0.0,0.010195554069864617,1.0,0.03858520900321544,0.04180064308681672,0.0,0.001607717041800643,0.0,0,622,0.114156777536353,0.5569112485375229,5.506713565344607,0.06251044626441585,1176.txt
355,10949,10949.0,0.008141762452107279,0.0,0.0,0.004475294547447255,1.0,0.008141762452107279,0.013888888888888888,0.0,0.0004789272030651341,0.0,0,2088,0.06101013791213809,0.6474563887112978,4.595596041627231,0.17426248972508904,1314.txt
356,508729,508729.0,0.005784955028618152,0.0,0.00012264922322158627,0.0028089611561361747,1.0,0.006030253475061325,0.016537203597710548,0.0,0.00022485690923957483,0.0002044153720359771,1,48920,0.12310680146010941,0.5261779847423678,5.580447531660686,0.05093871196648903,426.txt
357,13710,13710.0,0.024822695035460994,0.0,0.0,0.006491611962071481,1.0,0.023404255319148935,0.031914893617021274,0.0,0.0007092198581560284,0.0,0,1410,0.0962800875273523,0.5894237782640408,5.484298848924121,0.06294675419401896,316.txt
358,42062,42062.0,0.0028596294914832775,0.0,0.0,0.004112976082925206,1.0,0.007459903021260724,0.007086907870197687,0.0,0.00012433171702101205,0.0,0,8043,0.040036137130902004,0.6779040464076839,4.409230065309391,0.1817792782083591,635.txt
359,21512,21512.0,0.00860832137733142,0.0,0.0,0.0028821123094087023,1.0,0.00860832137733142,0.016260162601626018,0.0,0.00047824007651841227,0.0,0,2091,0.0729825213834139,0.5875325399776868,5.495715833200263,0.06359241353663071,726.txt
360,229111,229111.0,0.015506776419722292,4.1573127130622764e-05,4.1573127130622764e-05,0.005080506828567812,1.0,0.023488816828801863,0.012513511266317452,4.1573127130622764e-05,4.1573127130622764e-05,0.0,0,24054,0.07938510154466612,0.6343082610612323,5.181172998499607,0.07876094993256544,164.txt
361,322332,322332.0,0.022328312181235915,0.00023721978412999644,0.00020756731111374688,0.006124120472059864,1.0,0.02475981496856838,0.014855888981141027,2.9652473016249555e-05,0.00017791483809749734,0.00014826236508124778,1,33724,0.11512663961381432,0.5791730265688793,5.424413721950603,0.05924946949108373,1233.txt
362,4977,4977.0,0.025540275049115914,0.0,0.0,0.009644364074743821,1.0,0.03143418467583497,0.060903732809430254,0.0,0.0019646365422396855,0.0,0,509,0.09443439823186658,0.5449065702230259,5.54406450697595,0.061080972473377536,754.txt
363,80442,80442.0,0.006230763456196982,0.0,0.0,0.005183859178041322,1.0,0.017791457097815478,0.010134374296224007,0.0,7.506943923128894e-05,7.506943923128894e-05,0,13321,0.05627657194003133,0.6831008677059248,4.710594775848379,0.15023246562740858,696.txt
364,930532,930532.0,0.02018957345971564,4.739336492890995e-05,3.554502369668247e-05,0.0034840284912286733,1.0,0.012559241706161137,0.019751184834123223,0.0,8.293838862559241e-05,0.00011848341232227489,1,84400,0.12020543087180237,0.49790227525759456,5.746495863622642,0.05726938998336435,356.txt
365,12239,12239.0,0.012759170653907496,0.0,0.0,0.011193724977530845,1.0,0.03907496012759171,0.025518341307814992,0.0,0.0007974481658692185,0.0,0,1254,0.12599068551352235,0.5256148378135469,5.540055231734132,0.05760274532233026,934.txt
366,111366,111366.0,0.009761208845750841,0.0,0.0,0.006330477883734712,1.0,0.017426790933656868,0.013897314288865604,0.00011029614514972701,0.00016544421772459052,0.0,0,18133,0.06913241025088447,0.6654454680961873,4.78991806101964,0.14592424977102528,1120.txt
367,10304,10304.0,0.016074450084602367,0.0,0.0008460236886632825,0.00873447204968944,1.0,0.024534686971235193,0.049069373942470386,0.0,0.0025380710659898475,0.0,0,1182,0.11519798136645963,0.5675465838509317,5.626675316604687,0.06628493788819875,1241.txt
368,32889,32889.0,0.006195786864931847,0.0,0.0,0.007479704460457904,1.0,0.028810408921933085,0.01858736059479554,0.0,0.0003097893432465923,0.0003097893432465923,0,3228,0.12058743044787011,0.5385995317583386,5.518289795755194,0.05673629480981483,1092.txt
369,5081,5081.0,0.01639344262295082,0.0,0.0,0.008069277701239913,1.0,0.025500910746812388,0.04918032786885246,0.0,0.0018214936247723133,0.0,0,549,0.1407203306435741,0.5211572525093485,5.501636420739145,0.05569769730368038,1128.txt
370,1520506,1520506.0,0.009566026038437694,2.4798512089274643e-05,6.199628022318661e-05,0.0069299299049132325,1.0,0.02695598264104154,0.01750154990700558,0.00010539367637941724,0.00027898326100433973,9.299442033477992e-05,1,161300,0.09260272567158565,0.620642075730053,5.301153336206659,0.07672840488626813,359.txt
371,20830,20830.0,0.015477214101461736,0.0,0.0004299226139294927,0.00700912145943351,1.0,0.029664660361134996,0.02536543422184007,0.0,0.0004299226139294927,0.0,0,2326,0.10355256841094575,0.5541046567450792,5.6240560798945465,0.05770523283725396,839.txt
372,56437,56437.0,0.003146400148065889,0.0,0.0,0.005758633520562752,1.0,0.022765130483064965,0.015361836017027578,0.0,0.0009254118082546734,0.00018508236165093466,0,5403,0.09479596718464837,0.5375374311178837,5.490327552551758,0.060031539592820315,1178.txt
373,3992,3992.0,0.022277227722772276,0.0,0.0,0.00876753507014028,1.0,0.03217821782178218,0.05198019801980198,0.0,0.0024752475247524753,0.0,0,404,0.11272545090180361,0.562625250501002,5.570494848888634,0.05911823647294589,803.txt
